code,group,minx,miny,maxx,maxy,country
LCA,1,-61.08013915999993,13.707083000000123,-60.86986160199996,14.110417367000023,Saint Lucia
LIE,1,9.472480999000028,47.04738235600013,9.637493958000109,47.27172851600005,Liechtenstein
LKA,1,79.52180500100008,5.918471813000053,81.878753663,9.835970879000172,Sri Lanka
LSO,1,27.01122999900008,-30.67557525699993,29.45570945800005,-28.57080078099989,Lesotho
LTU,1,20.95059630226882,53.89010644726545,26.847221374000128,56.44702911399997,Lithuania
LUX,1,5.744140148999975,49.44780731300011,6.530774592000057,50.18162155200008,Luxembourg
LVA,1,20.97138977100019,55.66371917800007,28.24051092200017,58.08557129000008,Latvia
MAF,1,-63.153751,18.045352999999977,-62.96958199999989,18.12597299999993,Saint Martin (French part)
MAR,1,-13.16791534399988,27.670074462000173,-0.9962728669580656,35.92263793900008,Morocco
MCO,1,7.4095273020001855,43.72263700000002,7.44013799999999,43.750888826215885,Monaco
MDA,1,26.62131118700006,45.4667589230001,30.16374000000013,48.490169526000045,"Moldova, Republic of"
MDG,1,43.18819400000007,-25.60625076199989,50.48652600000014,-11.948750000000018,Madagascar
MDV,1,72.63819100000012,-0.7031939999999395,73.76041400000008,7.10652900000008,Maldives
MEX,1,-118.36888899999995,14.53291702200005,-86.71013599999998,32.71804046600005,Mexico
MHL,1,160.79527299999995,4.572501000000045,172.17260699999997,14.72318800000005,Marshall Islands
MKD,1,20.4557666770001,40.85528945900012,23.006134033000023,42.33859253000003,North Macedonia
MLI,1,-12.238911628999915,10.159510613000124,4.244967938000116,25.000000000000227,Mali
MLT,1,14.18359756500007,35.78597300000018,14.576526643000136,36.0823593130001,Malta
MMR,1,92.172501,8.824445000000026,101.17678070100015,28.5432605740001,Myanmar
MNE,1,18.458923007158266,41.84791600000011,20.31764793500014,43.562641144,Montenegro
MNG,1,87.74965667700013,41.56768798900009,119.92430114700016,52.154296875,Mongolia
MNP,1,144.884995,14.110000000000014,146.06604000000004,20.55499800000013,Northern Mariana Islands
MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique
MRT,1,-17.066521000000023,14.715551376000008,-4.829955323875822,27.298070908000284,Mauritania
MSR,1,-62.24180602999997,16.67486190700015,-62.14458465699988,16.824306488000104,Montserrat
MTQ,1,-61.229026793999935,14.38819400100016,-60.80875000000003,14.87902832100002,Martinique
MUS,1,56.585692999999935,-20.525693892999925,63.50347099999999,-10.337081999999953,Mauritius
MWI,1,32.671524048000094,-17.127210617999935,35.915046692000146,-9.363796234999938,Malawi
MYS,1,99.640717,0.8537199500001407,119.269722,7.38055600000007,Malaysia
MYT,1,45.01791800000001,-13.006250998999974,45.300140000000056,-12.635694999999942,Mayotte
NAM,1,11.734862327000316,-28.969449999999995,25.25670051500009,-16.95989036499992,Namibia
NCL,1,155.86889600000006,-22.84805700099997,172.09008800000015,-17.39916599999998,New Caledonia
NER,1,0.1662500060000979,11.696969986999989,15.995641709000154,23.52503013600011,Niger
NFK,1,167.91389500000014,-29.1330549999999,167.99806200000012,-28.993888999999967,Norfolk Island
NGA,1,2.6684310430001688,4.270418000000007,14.67641544300011,13.892009735000102,Nigeria
NIC,1,-87.69097099999999,10.707378301000006,-81.999863,15.025910378000049,Nicaragua
NIU,1,-169.95083618299992,-19.156156539999927,-169.77360534799996,-18.952222823999875,Niue
NLD,1,3.3607822570000394,50.72349166800007,7.2270951260000516,53.55458500000009,Netherlands
NOR,1,3.904688000000135,57.95902600000005,31.16197999900004,71.18125199999997,Norway
